datetime,rm,ru,rf,rs,rb,sz,ss,cm
2023-05-17 19:55:01,4046680,352276,3915948,213564,44,4063228,3563672,1574724
2023-05-17 20:00:02,4046680,351904,3915576,213564,44,4063228,3563672,1574848
2023-05-17 20:05:02,4046680,336184,3899856,213620,44,4063228,3563672,1575052
2023-05-17 20:10:01,4046680,327380,3891052,221812,44,4063228,3563672,1583468
2023-05-17 20:15:02,4046680,338836,3902516,221756,44,4063228,3563680,1586776
2023-05-17 20:20:02,4046680,339392,3903072,221756,44,4063228,3563680,1586908
2023-05-17 20:25:02,4046680,338908,3902588,221756,44,4063228,3563680,1587064
2023-05-17 20:30:01,4046680,355344,3919024,205372,44,4063228,3563680,1570808
2023-05-17 20:35:02,4046680,352672,3916352,205372,44,4063228,3563680,1570956
2023-05-17 20:40:01,4046680,352472,3916152,205372,44,4063228,3563680,1571080
2023-05-17 20:45:02,4046680,352284,3915964,205372,44,4063228,3563680,1571212
2023-05-17 20:50:01,4046680,352120,3915800,205372,44,4063228,3563680,1571340
2023-05-17 20:55:02,4046680,352244,3915924,205372,44,4063228,3563680,1571472
2023-05-17 21:00:01,4046680,384176,3947856,205372,44,4063228,3563680,1571596
2023-05-17 21:05:02,4046680,384816,3948496,205428,44,4063228,3563680,1571796
2023-05-17 21:10:01,4046680,390648,3954328,213564,44,4063228,3563680,1583224
2023-05-17 21:15:01,4046680,575268,4138948,213564,44,4063228,3563680,1583424
2023-05-17 21:20:02,4046680,575388,4139068,213564,44,4063228,3563680,1583544
2023-05-17 21:25:02,4046680,574788,4138468,213564,44,4063228,3563680,1583672
2023-05-17 21:30:02,4046680,575036,4138716,213564,44,4063228,3563680,1583800
2023-05-17 21:35:01,4046680,580972,4144656,213564,44,4063228,3563684,1583944
2023-05-17 21:40:02,4046680,580740,4144424,213564,44,4063228,3563684,1584060
2023-05-17 21:45:02,4046680,580560,4144244,213564,44,4063228,3563684,1584188
2023-05-17 21:50:02,4046680,580312,4143996,213564,44,4063228,3563684,1584308
2023-05-17 21:55:01,4046680,571796,4135480,221756,44,4063228,3563684,1592628
2023-05-17 22:00:02,4046680,571936,4135620,221756,44,4063228,3563684,1592688
2023-05-17 22:05:02,4046680,555928,4119612,221812,44,4063228,3563684,1592876
2023-05-17 22:10:02,4046680,555668,4119352,221812,44,4063228,3563684,1593028
2023-05-17 22:15:01,4046680,567988,4131672,221756,44,4063228,3563684,1596260
2023-05-17 22:20:02,4046680,584464,4148148,205372,44,4063228,3563684,1580000
2023-05-17 22:25:01,4046680,584604,4148288,205372,44,4063228,3563684,1580136
2023-05-17 22:30:02,4046680,584052,4147736,205372,44,4063228,3563684,1580260
2023-05-17 22:35:02,4046680,584216,4147900,205372,44,4063228,3563684,1580412
2023-05-17 22:40:01,4046680,584032,4147716,205372,44,4063228,3563684,1580536
2023-05-17 22:45:02,4046680,583540,4147224,205372,44,4063228,3563684,1580672
2023-05-17 22:50:01,4046680,583364,4147048,205372,44,4063228,3563684,1580796
2023-05-17 22:55:02,4046680,583348,4147032,205372,44,4063228,3563684,1580936
2023-05-17 23:00:01,4046680,498524,4062208,213564,44,4063228,3563684,1589264
2023-05-17 23:05:02,4046680,481496,4045180,213620,44,4063228,3563684,1589452
2023-05-17 23:10:02,4046680,480752,4044436,213620,44,4063228,3563684,1589676
2023-05-17 23:15:01,4046680,493936,4057620,213564,44,4063228,3563684,1592692
2023-05-17 23:20:02,4046680,491952,4055636,213564,44,4063228,3563684,1592816
2023-05-17 23:25:02,4046680,492008,4055692,213564,44,4063228,3563684,1592968
2023-05-17 23:30:02,4046680,492120,4055804,213564,44,4063228,3563684,1593096
2023-05-17 23:35:02,4046680,491580,4055264,213564,44,4063228,3563684,1593228
2023-05-17 23:40:01,4046680,492212,4055896,213564,44,4063228,3563684,1593352
2023-05-17 23:45:02,4046680,483352,4047036,221756,44,4063228,3563684,1601680
2023-05-17 23:50:02,4046680,483052,4046736,221756,44,4063228,3563684,1601792
2023-05-17 23:55:02,4046680,482080,4045764,221756,44,4063228,3563684,1602500
