datetime,Physical memory,Virtual memory,Memory buffers,Cached memory,Shared memory,Swap space,/,/dev/shm,/run,/sys/fs/cgroup,/boot,/run/user/42,/run/user/1035,/run/media/admin/CentOS 7 x86_64,/run/user/1028
2023-05-10 05:00:02,3743452,4500992,48,622372,143888,757540,14625833,0,51525,0,50651,1,7,4245165,0
2023-05-10 05:05:02,3766984,4524524,48,629272,143920,757540,14625816,0,51533,0,50651,1,7,4245165,0
2023-05-10 05:10:02,3665960,4426120,48,558528,142088,760160,14625829,0,51525,0,50651,1,7,4245165,0
2023-05-10 05:15:02,3708744,4468904,48,601172,150280,760160,14625818,0,53573,0,50651,1,7,4245165,0
2023-05-10 05:20:02,3708404,4468564,48,601480,150280,760160,14625818,0,53573,0,50651,1,7,4245165,0
2023-05-10 05:25:02,3708712,4468872,48,601824,150280,760160,14625821,0,53573,0,50651,1,7,4245165,0
2023-05-10 05:30:02,3709092,4469248,48,602240,150280,760156,14625830,0,53573,0,50651,1,7,4245165,0
2023-05-10 05:35:01,3712108,4461328,48,605300,153024,749220,14625822,0,51525,0,50651,1,7,4245165,0
2023-05-10 05:40:02,3713896,4463116,48,606676,153024,749220,14625850,0,51525,0,50651,1,7,4245165,0
2023-05-10 05:45:01,3714532,4463752,48,607036,153024,749220,14625824,0,51525,0,50651,1,7,4245165,0
2023-05-10 05:50:02,3723464,4472672,48,615512,161216,749208,14625831,0,53573,0,50651,1,7,4245165,0
2023-05-10 05:55:01,3724328,4473504,48,615920,161228,749176,14625826,0,53573,0,50651,1,7,4245165,0
2023-05-10 06:00:02,3723548,4472724,48,616156,161228,749176,14625863,0,53573,0,50651,1,7,4245165,0
2023-05-10 06:05:01,3747984,4497148,48,623848,161268,749164,14625828,0,53581,0,50651,1,7,4245165,0
2023-05-10 06:10:02,3757080,4506240,48,632472,169460,749160,14625848,0,55629,0,50651,1,7,4245165,0
2023-05-10 06:15:01,3751944,4490032,48,627480,164148,738088,14625829,0,51533,0,50651,1,7,4245165,0
2023-05-10 06:20:02,3732720,4473552,48,630148,163724,740832,14625848,0,51525,0,50651,1,7,4245165,0
2023-05-10 06:25:02,3733088,4473912,48,630524,163724,740824,14625831,0,51525,0,50651,1,7,4245165,0
2023-05-10 06:30:02,3741260,4482084,48,638948,171916,740824,14625866,0,53573,0,50651,1,7,4245165,0
2023-05-10 06:35:02,3741520,4482344,48,639196,171916,740824,14625833,0,53573,0,50651,1,7,4245165,0
2023-05-10 06:40:02,3645048,4385852,48,641004,171924,740804,14625849,0,53573,0,50651,1,7,4245165,0
2023-05-10 06:45:02,3633172,4373976,48,651540,180116,740804,14627662,0,55621,0,50651,1,7,4245165,0
2023-05-10 06:50:01,3659264,4388952,48,679404,174808,729688,14627499,0,51525,0,50651,1,7,4245165,0
2023-05-10 06:55:02,3659476,4389164,48,679752,174808,729688,14627797,0,51525,0,50651,1,7,4245165,0
2023-05-10 07:00:02,3660088,4389776,48,680072,174808,729688,14627692,0,51525,0,50651,1,7,4245165,0
2023-05-10 07:05:02,3685216,4414900,48,688756,183032,729684,14627665,0,53581,0,50651,1,7,4245165,0
2023-05-10 07:10:01,3686936,4416620,48,691084,183032,729684,14627677,0,53581,0,50651,1,7,4245165,0
2023-05-10 07:15:02,3671728,4401412,48,691420,183000,729684,14627686,0,53573,0,50651,1,7,4245165,0
